codigo_producto,descripcion_producto,categoria,laboratorio,precio_unitario,stock_actual,estado_producto
0000000050,SERUM FACIAL CREMA 50 G,BELLEZA,QUIMICA CENTRAL,49.43,54,ACTIVO
0000000051,CREMA REPARADORA CAPSULAS 20 MG,DERMOCOSMETICA,DERMA NOVA,82.57,32,ACTIVO
0000000052,SERUM ANTIOXIDANTE CAJA X 20,DERMOCOSMETICA,MEDILAB SUR,70.26,10,ACTIVO
0000000053,CREMA HIDRATANTE PAQUETE X 12,BELLEZA,NATURA MED,48.58,33,ACTIVO
0000000054,PANAL INFANTIL CAPSULAS 20 MG,BEBES,NOVA SALUD,40.08,93,ACTIVO
0000000055,  PARACETAMOL PAQUETE X 12  ,MEDICAMENTOS,PHARMA FUTURA,20.92,159,ACTIVO
0000000056,  PASTA DENTAL CAJA X 20  ,CUIDADO PERSONAL,INNOVA CARE,15.28,11,ACTIVO
0000000057,DICLOFENACO SOBRES X 10,MEDICAMENTOS,   ,19.81,147,ACTIVO
0000000058,CETIRIZINA FRASCO 30 ML,MEDICAMENTOS,MEDILAB SUR,2.19,55,ACTIVO
0000000059,LIMPIADOR FACIAL CAPSULAS 20 MG,BELLEZA,PACIFICO HEALTH,65.83,0,ACTIVO
0000000060,PARACETAMOL GEL 100 ML,MEDICAMENTOS,SALUD INTEGRAL,14.8,85,ACTIVO
0000000061,IBUPROFENO SPRAY 60 ML,MEDICAMENTOS,CLINIMED,63.13,71,ACTIVO
0000000062,AMOXICILINA CAJA X 20,MEDICAMENTOS,LABORATORIO ANDES VIDA,54.33,__NULL__,ACTIVO
0000000063,DESODORANTE LOCION 250 ML,CUIDADO PERSONAL,VITALIS ECUADOR,32.93,142,ACTIVO
0000000064,ACEITE PARA BEBE CAJA X 20,BEBES,BEBE SANO,50.66,124,ACTIVO
0000000065,GEL ANTIBACTERIAL CAJA X 20,CUIDADO PERSONAL,INNOVA CARE,19.72,116,ACTIVO
0000000066,BEBIDA NUTRICIONAL GEL 100 ML,NUTRICION,PHARMA FUTURA,59.62,29,ACTIVO
0000000067,aceite para bebe spray 60 ml,BEBES,VITALIS ECUADOR,60.31,57,ACTIVO
0000000068,MULTIVITAMINICO SPRAY 60 ML,NUTRICION,LABORATORIO ANDES VIDA,24.73,15,ACTIVO
0000000069,SHAMPOO INFANTIL JARABE 120 ML,BEBES,VITALIS ECUADOR,13.72,224,ACTIVO
0000000070,OMEPRAZOL CAPSULAS 20 MG,MEDICAMENTOS,MEDILAB SUR,5.73,108,INACTIVO
0000000071,DICLOFENACO SOBRES X 10,MEDICAMENTOS,BIOQUIM FARMA,15.79,8,ACTIVO
0000000072,PASTA DENTAL CREMA 50 G,CUIDADO PERSONAL,CLINIMED,26.38,30,ACTIVO
0000000073,MULTIVITAMINICO CAJA X 20,NUTRICION,PHARMA FUTURA,61.77,59,ACTIVO
0000000074,PROTECTOR SOLAR CAJA X 20,DERMOCOSMETICA,PACIFICO HEALTH,70.57,96,ACTIVO
0000000075,SERUM FACIAL LOCION 250 ML,BELLEZA,BIENESTAR LABS,10.69,207,ACTIVO
0000000076,ACEITE PARA BEBE LOCION 250 ML,BEBES,NATURA MED,65.66,65,ACTIVO
0000000077,FORMULA INFANTIL GEL 100 ML,BEBES,   ,49.54,176,ACTIVO
0000000078,DESODORANTE SOBRES X 10,CUIDADO PERSONAL,   ,12.24,26,ACTIVO
0000000079,AMOXICILINA UNIDAD,MEDICAMENTOS,FARMA SIERRA,12.92,66,ACTIVO
0000000080,PROTECTOR SOLAR CREMA 50 G,DERMOCOSMETICA,INNOVA CARE,80.28,15,ACTIVO
0000000081,MASCARILLA QUIRURGICA LOCION 250 ML,DISPOSITIVOS MEDICOS,QUIMICA CENTRAL,14.28,35,DESCONTINUADO
0000000082,GUANTES DE EXAMEN JARABE 120 ML,DISPOSITIVOS MEDICOS,,7.64,128,DESCONTINUADO
0000000083,LOCION CORPORAL CREMA 50 G,DERMOCOSMETICA,FARMA SIERRA,91.87,83,ACTIVO
0000000084,OMEGA 3 PAQUETE X 12,NUTRICION,VIDA ACTIVA,72.62,45,ACTIVO
0000000085,AMOXICILINA CREMA 50 G,MEDICAMENTOS,BEBE SANO,27.93,80,ACTIVO
0000000086,MASCARILLA GEL 100 ML,BELLEZA,VITALIS ECUADOR,72.47,0,DESCONTINUADO
0000000087,CETIRIZINA CREMA 50 G,MEDICAMENTOS,PACIFICO HEALTH,26.21,70,ACTIVO
0000000088,VITAMINA C LOCION 250 ML,NUTRICION,FARMA SIERRA,22.48,54,ACTIVO
0000000089,LORATADINA FRASCO 30 ML,MEDICAMENTOS,PHARMA FUTURA,48.08,0,ACTIVO
0000000090,PANAL INFANTIL LOCION 250 ML,BEBES,FARMA SIERRA,65.67,0,ACTIVO
0000000091,CREMA PARA BEBE CAPSULAS 20 MG,BEBES,SALUD INTEGRAL,62.37,193,ACTIVO
0000000092,SHAMPOO SUAVE JARABE 120 ML,CUIDADO PERSONAL,VITALIS ECUADOR,34.1,148,ACTIVO
0000000093,CETIRIZINA CAJA X 20,MEDICAMENTOS,   ,64.11,45,ACTIVO
0000000094,DICLOFENACO FRASCO 30 ML,MEDICAMENTOS,MEDILAB SUR,16.81,18,ACTIVO
0000000095,CALCIO CAPSULAS 20 MG,NUTRICION,VITALIS ECUADOR,48.01,41,ACTIVO
0000000096,LIMPIADOR FACIAL SPRAY 60 ML,BELLEZA,PHARMA FUTURA,66.28,62,ACTIVO
0000000097,GEL LIMPIADOR UNIDAD,DERMOCOSMETICA,QUIMICA CENTRAL,34.95,76,DESCONTINUADO
0000000098,PASTA DENTAL SPRAY 60 ML,CUIDADO PERSONAL,VITALIS ECUADOR,29.53,43,ACTIVO
0000000099,LORATADINA CAPSULAS 20 MG,MEDICAMENTOS,INNOVA CARE,9.8,27,INACTIVO
0000000100,IBUPROFENO FRASCO 30 ML,MEDICAMENTOS,BIOQUIM FARMA,44.21,125,ACTIVO
