codigo_producto,codigo_proveedor,costo_compra,plazo_entrega_dias,descuento_porcentaje,proveedor_principal,estado_relacion
0000000124,PR0138,5.27,30,0.0,SI,ACTIVA
0000000125,PR0032,2.53,13,12.5,SI,ACTIVA
0000000126,PR0125,16.67,22,5.0,SI,ACTIVA
0000000127,PR0083,14.81,10,5.0,SI,ACTIVA
0000000128,PR0039,18.83,7,0.0,SI,ACTIVA
0000000129,PR0142,2.53,19,0.0,SI,ACTIVA
0000000130,PR0024,17.06,2,12.5,SI,ACTIVA
0000000131,PR0063,19.08,16,7.5,SI,ACTIVA
0000000132,PR0085,17.95,30,15.0,SI,ACTIVA
0000000133,PR0104,22.66,13,10.0,SI,ACTIVA
0000000134,PR0136,33.36,27,2.0,SI,ACTIVA
0000000135,PR0024,22.18,6,3.0,SI,ACTIVA
0000000136,PR0139,24.51,9,12.5,NO,ACTIVA
0000000137,PR0092,22.77,8,3.0,NO,ACTIVA
0000000138,PR0058,2.66,14,10.0,SI,ACTIVA
0000000139,PR0127,19.83,3,3.0,NO,ACTIVA
0000000140,PR0078,3.27,11,15.0,SI,ACTIVA
0000000141,PR0028,16.85,21,7.5,NO,ACTIVA
0000000142,PR0048,16.2,9,5.0,SI,ACTIVA
0000000143,PR0058,25.6,16,10.0,SI,ACTIVA
0000000144,PR0073,6.78,9,0.0,SI,ACTIVA
0000000145,PR0088,15.55,23,0.0,SI,ACTIVA
0000000146,PR0131,20.33,27,10.0,NO,ACTIVA
0000000147,PR0003,3.33,10,3.0,NO,ACTIVA
0000000148,PR0111,9.68,2,5.0,SI,ACTIVA
0000000149,PR0038,14.54,16,10.0,SI,ACTIVA
0000000150,PR0082,9.18,30,3.0,SI,ACTIVA
