id_movimiento,fecha_movimiento,codigo_producto,codigo_sucursal,tipo_movimiento,cantidad,valor,estado_movimiento,observacion
21,2026-06-20 11:21:38,0000002024,0144,TRANSFERENCIA,10,295.62,VALIDO,__NULL__
22,2026-01-08 09:12:51,0000001158,0194,VENTA,9,656.31,VALIDO,__NULL__
23,2025-08-28 03:45:14,0000002299,0170,DEVOLUCION,-4,-41.13,ANULADO,__NULL__
24,2026-04-17 12:38:58,0000002718,0116,VENTA,6,361.73,VALIDO,__NULL__
25,2025-02-17 00:45:49,0000001736,0120,TRANSFERENCIA,19,1161.29,VALIDO,__NULL__
26,2026-04-16 03:01:36,0000000371,0060,VENTA,1,49.35,VALIDO,__NULL__
27,2025-01-23 20:01:40,0000002691,0246,VENTA,5,206.43,VALIDO,__NULL__
28,2025-04-10 18:50:29,0000001749,0316,VENTA,10,659.46,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
29,2025-09-13 00:12:26,0000001581,0151,VENTA,7,78.19,ANULADO,__NULL__
30,2026-04-19 12:45:18,0000000153,0353,VENTA,7,321.45,VALIDO,__NULL__
31,2026-03-18 02:08:03,0000001740,0304,VENTA,7,140.83,VALIDO,__NULL__
32,2025-08-24 11:42:21,0000000455,0014,COMPRA,9,31.83,VALIDO,__NULL__
33,2025-01-18 14:20:44,0000000462,0074,VENTA,10,68.9,VALIDO,__NULL__
34,2026-03-26 16:09:41,0000001829,0044,VENTA,7,417.08,VALIDO,__NULL__
35,2026-04-24 04:58:57,0000001136,0077,AJUSTE,1,5.52,VALIDO,__NULL__
36,2025-10-07 14:07:08,0000000706,0188,TRANSFERENCIA,17,53.38,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
37,2025-03-25 09:31:04,0000001246,0164,VENTA,9,489.35,VALIDO,DIFERENCIA EN CONTEO
38,2025-06-17 00:46:06,0000000016,0002,VENTA,2,51.22,VALIDO,   
39,2026-01-07 07:17:07,0000000109,0246,VENTA,1,90.86,VALIDO,__NULL__
40,2026-07-03 10:14:21,0000002015,0379,VENTA,9,524.34,VALIDO,__NULL__
41,2025-04-27 02:18:56,0000001524,0122,VENTA,10,429.39,VALIDO,__NULL__
42,2026-02-14 22:03:10,0000000225,0023,VENTA,5,97.55,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
43,2026-01-11 21:36:44,0000000715,0330,VENTA,5,33.99,VALIDO,__NULL__
44,2025-05-08 06:55:13,0000000208,0175,COMPRA,79,3967.17,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
45,2025-05-10 20:47:21,0000002083,0222,DEVOLUCION,-8,-441.1,VALIDO,__NULL__
46,2026-05-23 20:11:27,0000002565,0289,VENTA,10,240.61,PENDIENTE,AJUSTE POR INVENTARIO
47,2026-02-26 21:40:51,0000002352,0059,VENTA,2,66.26,VALIDO,__NULL__
48,2025-02-23 06:47:09,0000001030,0095,TRANSFERENCIA,9,319.38,VALIDO,__NULL__
49,2026-06-09 16:04:44,0000001900,0054,VENTA,5,23.94,VALIDO,AJUSTE POR INVENTARIO
50,2025-12-21 00:49:05,0000000719,0364,VENTA,8,463.39,VALIDO,__NULL__
51,2025-12-17 11:51:45,0000000335,0023,AJUSTE,-16,-54.96,VALIDO,REVISION MANUAL
52,2025-03-21 21:41:37,0000002370,0180,VENTA,6,348.88,PENDIENTE,MOVIMIENTO GENERADO AUTOMATICAMENTE
53,2025-07-08 09:58:08,0000000257,0051,DEVOLUCION,-7,-23.51,VALIDO,__NULL__
54,2025-11-05 22:09:25,0000001557,0160,VENTA,8,190.32,VALIDO,AJUSTE POR INVENTARIO
55,2025-08-19 14:23:58,0000000588,0310,VENTA,8,345.48,VALIDO,__NULL__
56,2025-10-13 02:35:31,0000001113,0165,VENTA,1,64.66,VALIDO,__NULL__
57,2026-07-10 07:52:31,0000002065,0073,AJUSTE,17,892.2,VALIDO,__NULL__
58,2025-07-06 06:07:03,0000001807,0246,VENTA,3,108.74,VALIDO,__NULL__
59,2025-02-15 21:09:12,0000000030,0361,TRANSFERENCIA,4,98.62,VALIDO,__NULL__
60,2025-02-27 09:34:07,0000000584,0086,VENTA,5,164.51,VALIDO,__NULL__
61,2025-10-28 18:28:07,0000002377,0152,VENTA,5,86.04,VALIDO,__NULL__
62,2025-02-27 18:24:07,0000002512,0272,VENTA,10,230.86,VALIDO,__NULL__
63,2026-04-17 14:02:15,0000001195,0238,VENTA,4,13.1,VALIDO,__NULL__
64,2025-04-01 18:20:00,0000001141,0359,VENTA,4,195.52,VALIDO,__NULL__
65,2025-07-24 19:13:41,0000002266,0011,TRANSFERENCIA,11,360.41,VALIDO,__NULL__
66,2025-10-05 10:18:13,0000001427,0099,VENTA,1,39.88,ANULADO,__NULL__
67,2025-04-06 08:07:13,0000001904,0223,VENTA,3,7.99,VALIDO,__NULL__
68,2025-09-09 04:56:04,0000001928,0247,VENTA,9,472.42,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
69,2026-07-08 16:59:28,0000001281,0299,TRANSFERENCIA,21,1115.76,VALIDO,__NULL__
70,2025-05-18 22:53:45,0000002732,0071,DEVOLUCION,-3,-176.04,VALIDO,__NULL__
71,2025-12-16 23:27:13,0000000323,0040,COMPRA,38,2263.6,VALIDO,__NULL__
72,2025-05-02 15:49:30,0000001756,0105,AJUSTE,20,1022.86,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
73,2025-08-01 01:50:36,0000000569,0377,DEVOLUCION,-10,-50.78,VALIDO,__NULL__
74,2025-04-30 23:41:05,0000000978,0145,TRANSFERENCIA,23,395.47,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
75,2026-07-24 22:17:30,0000001052,0012,TRANSFERENCIA,7,18.32,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
76,2026-06-12 06:00:55,0000002493,0199,VENTA,9,540.86,VALIDO,__NULL__
77,2026-01-28 04:06:59,0000001974,0166,VENTA,10,537.8,VALIDO,REVISION MANUAL
78,2026-04-16 21:20:25,0000002640,0013,VENTA,7,30.77,VALIDO,
79,2026-04-04 13:49:10,0000001634,0379,TRANSFERENCIA,1,6.09,VALIDO,__NULL__
80,2025-03-28 03:55:26,0000001326,0315,AJUSTE,11,112.99,VALIDO,__NULL__
81,2026-02-08 09:27:20,0000002849,0112,VENTA,10,644.65,VALIDO,__NULL__
82,2026-01-29 16:56:35,0000002726,0029,COMPRA,87,4609.71,VALIDO,__NULL__
83,2025-03-01 04:47:54,0000002676,0138,COMPRA,91,4156.26,PENDIENTE,__NULL__
84,2025-09-03 00:41:42,0000001874,0357,VENTA,4,40.3,VALIDO,__NULL__
85,2025-09-28 19:00:54,0000001714,0169,VENTA,8,899.44,VALIDO,__NULL__
86,2025-05-31 00:44:06,0000002686,0077,TRANSFERENCIA,23,809.38,VALIDO,__NULL__
87,2025-08-05 15:26:16,0000001551,0061,COMPRA,78,2448.67,VALIDO,
88,2025-05-11 05:03:36,0000001455,0121,VENTA,10,1049.57,VALIDO,__NULL__
89,2025-11-04 19:28:34,0000001971,0287,VENTA,5,340.54,VALIDO,__NULL__
90,2026-04-29 17:55:09,0000001467,0134,COMPRA,17,716.0,PENDIENTE,__NULL__
91,2025-10-10 07:44:00,0000001557,0287,COMPRA,94,1603.82,VALIDO,__NULL__
92,2026-01-05 11:50:53,0000000596,0095,AJUSTE,-12,-642.67,VALIDO,__NULL__
93,2025-12-06 21:35:42,0000001472,0046,DEVOLUCION,-4,-222.48,VALIDO,AJUSTE POR INVENTARIO
94,2025-06-12 16:00:22,0000000074,0259,VENTA,2,145.32,VALIDO,__NULL__
95,2025-09-17 20:58:49,0000002458,0294,COMPRA,77,788.46,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
96,2026-05-29 04:32:41,0000001652,0044,COMPRA,76,2104.48,VALIDO,   
97,2025-09-20 13:47:28,0000002816,0137,AJUSTE,-16,-1055.18,VALIDO,__NULL__
98,2025-08-10 01:29:38,0000000899,0373,VENTA,4,167.59,VALIDO,REVISION MANUAL
99,2025-03-03 23:53:55,0000001374,0113,AJUSTE,-7,-226.31,VALIDO,__NULL__
100,2025-04-02 18:47:09,0000000798,0309,VENTA,10,192.1,VALIDO,REVISION MANUAL
101,2025-08-15 00:14:22,0000000949,0131,AJUSTE,5,237.13,VALIDO,__NULL__
102,2025-01-14 23:42:29,0000002460,0281,VENTA,7,374.56,VALIDO,__NULL__
103,2025-12-28 15:19:55,0000000248,0274,COMPRA,100,4534.45,VALIDO,DIFERENCIA EN CONTEO
104,2025-01-19 14:13:25,0000000768,0146,TRANSFERENCIA,7,143.11,VALIDO,__NULL__
105,2025-10-16 13:35:08,0000000478,0179,TRANSFERENCIA,4,228.02,VALIDO,__NULL__
106,2026-07-13 18:32:06,0000000688,0365,VENTA,10,21.87,VALIDO,__NULL__
107,2025-01-19 05:07:53,0000002593,0102,VENTA,4,89.28,ANULADO,__NULL__
108,2025-06-14 13:34:41,0000001235,0010,DEVOLUCION,-6,-186.43,VALIDO,__NULL__
109,2025-11-26 15:04:00,0000000260,0255,VENTA,8,115.08,VALIDO,__NULL__
110,2025-04-01 21:50:13,0000000738,0199,VENTA,8,315.79,VALIDO,__NULL__
111,2025-06-14 16:00:05,0000000192,0172,VENTA,8,480.4,VALIDO,REVISION MANUAL
112,2025-10-09 23:58:38,0000001007,0306,VENTA,4,223.21,VALIDO,   
113,2025-02-11 13:50:48,0000000995,0059,VENTA,4,5.83,VALIDO,REVISION MANUAL
114,2025-11-22 23:03:28,0000002788,0011,TRANSFERENCIA,17,113.78,VALIDO,__NULL__
115,2025-07-27 21:39:58,0000001400,0101,VENTA,2,152.2,PENDIENTE,__NULL__
116,2025-12-23 19:09:43,0000000431,0171,TRANSFERENCIA,22,1295.51,VALIDO,__NULL__
117,2025-05-26 05:29:02,0000000631,0341,VENTA,9,429.51,VALIDO,__NULL__
118,2025-12-31 02:18:31,0000001696,0158,VENTA,9,466.24,VALIDO,__NULL__
119,2026-07-16 16:06:30,0000001531,0285,VENTA,1,5.31,VALIDO,__NULL__
120,2025-04-14 04:10:15,0000000777,0199,VENTA,2,17.33,VALIDO,__NULL__
121,2025-03-19 22:34:51,0000001905,0168,VENTA,8,163.71,VALIDO,__NULL__
122,2026-01-29 01:17:53,0000002539,0009,VENTA,10,584.66,VALIDO,__NULL__
123,2025-10-04 21:07:55,0000002661,0270,TRANSFERENCIA,13,71.8,VALIDO,__NULL__
124,2026-07-14 10:46:21,0000002454,0323,VENTA,5,234.03,VALIDO,__NULL__
125,2025-11-11 12:18:55,0000002316,0232,TRANSFERENCIA,27,2163.32,VALIDO,DIFERENCIA EN CONTEO
126,2025-08-27 20:39:50,0000001600,0038,VENTA,8,282.57,VALIDO,__NULL__
127,2026-06-12 06:17:50,0000001572,0021,DEVOLUCION,-3,-100.8,VALIDO,__NULL__
128,2025-06-30 05:33:13,0000002143,0257,VENTA,3,112.92,VALIDO,__NULL__
129,2025-10-22 13:04:20,0000000881,0371,VENTA,5,345.41,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
130,2026-04-06 03:34:09,0000001025,0156,COMPRA,98,2114.77,VALIDO,__NULL__
131,2025-02-24 22:24:57,0000002417,0030,VENTA,6,623.54,VALIDO,__NULL__
132,2025-11-01 17:37:59,0000001910,0151,VENTA,5,503.31,VALIDO,AJUSTE POR INVENTARIO
133,2026-03-27 19:31:01,0000002087,0129,COMPRA,81,131.33,PENDIENTE,DIFERENCIA EN CONTEO
134,2025-07-19 16:25:46,0000001129,0374,VENTA,3,244.55,VALIDO,DIFERENCIA EN CONTEO
135,2026-03-19 06:54:27,0000000903,0379,VENTA,1,28.14,ANULADO,DIFERENCIA EN CONTEO
136,2025-06-07 15:25:41,0000001535,0306,DEVOLUCION,-5,-44.45,VALIDO,__NULL__
137,2025-02-25 04:50:48,0000001111,0351,VENTA,2,67.53,VALIDO,__NULL__
138,2025-12-06 16:21:13,0000000209,0306,DEVOLUCION,-1,-73.27,VALIDO,__NULL__
139,2026-06-02 13:09:49,0000000295,0241,TRANSFERENCIA,26,384.94,VALIDO,REVISION MANUAL
140,2025-08-29 23:48:37,0000001051,0326,VENTA,10,352.55,VALIDO,__NULL__
141,2025-12-13 22:48:27,0000000525,0202,VENTA,6,268.45,VALIDO,__NULL__
142,2026-07-10 14:31:50,0000002694,0209,DEVOLUCION,-7,-294.42,VALIDO,__NULL__
143,2026-05-09 05:42:58,0000000998,0180,VENTA,8,186.86,VALIDO,__NULL__
144,2025-05-17 17:05:48,0000001977,0274,VENTA,5,185.27,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
145,2025-12-08 11:03:55,0000000785,0123,VENTA,7,514.03,VALIDO,__NULL__
146,2026-07-13 20:21:51,0000002613,0194,COMPRA,39,788.87,VALIDO,__NULL__
147,2025-09-06 21:18:16,0000000324,0330,COMPRA,36,1595.12,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
148,2026-07-12 21:17:55,0000000282,0283,COMPRA,88,1239.62,VALIDO,__NULL__
149,2025-06-10 21:35:47,0000002477,0003,DEVOLUCION,-5,-187.47,VALIDO,__NULL__
150,2025-07-04 20:35:58,0000000011,0104,TRANSFERENCIA,13,12.83,VALIDO,AJUSTE POR INVENTARIO
151,2025-01-08 12:49:31,0000002114,0277,TRANSFERENCIA,18,398.2,PENDIENTE,__NULL__
152,2026-05-15 04:41:59,0000001721,0037,VENTA,2,188.33,VALIDO,__NULL__
153,2025-09-06 22:45:17,0000000173,0251,VENTA,8,259.67,VALIDO,__NULL__
154,2025-01-10 15:06:11,0000001930,0242,VENTA,9,156.17,VALIDO,AJUSTE POR INVENTARIO
155,2025-06-07 15:21:32,0000002095,0039,VENTA,3,115.82,VALIDO,__NULL__
156,2025-09-13 06:57:33,0000000824,0248,VENTA,7,31.29,VALIDO,__NULL__
157,2026-05-04 04:33:10,0000000067,0008,VENTA,8,469.55,VALIDO,__NULL__
158,2026-07-13 23:07:40,0000002220,0208,TRANSFERENCIA,6,160.57,VALIDO,__NULL__
159,2026-03-03 03:56:37,0000000313,0159,VENTA,3,83.62,VALIDO,__NULL__
160,2025-10-04 21:16:19,0000001948,0267,DEVOLUCION,-9,-326.07,VALIDO,__NULL__
161,2025-07-30 01:36:34,0000001430,0303,VENTA,10,590.15,VALIDO,__NULL__
162,2025-01-11 21:43:10,0000002779,0190,VENTA,1,42.16,VALIDO,MOVIMIENTO GENERADO AUTOMATICAMENTE
163,2025-10-16 16:24:38,0000001476,0065,COMPRA,45,125.15,VALIDO,__NULL__
164,2026-05-02 21:24:23,0000000609,0067,VENTA,1,20.25,VALIDO,__NULL__
165,2026-06-18 00:33:10,0000001243,0342,VENTA,10,192.32,VALIDO,__NULL__
166,2025-10-05 14:40:16,0000000217,0124,VENTA,7,118.32,VALIDO,__NULL__
167,2025-08-21 07:49:44,0000001881,0311,COMPRA,33,1104.61,VALIDO,__NULL__
168,2025-09-01 02:14:25,0000001794,0287,AJUSTE,-2,-31.09,VALIDO,__NULL__
169,2025-07-05 01:12:39,0000000817,0295,VENTA,8,380.32,VALIDO,__NULL__
170,2025-03-09 09:59:59,0000000605,0260,COMPRA,66,2708.66,VALIDO,__NULL__
171,2026-02-13 18:10:53,0000002348,0019,VENTA,10,793.3,VALIDO,AJUSTE POR INVENTARIO
172,2026-05-19 18:07:57,0000000650,0049,VENTA,9,721.62,VALIDO,AJUSTE POR INVENTARIO
173,2026-05-30 04:15:44,0000000535,0169,COMPRA,43,3173.12,VALIDO,__NULL__
174,2025-08-12 07:00:39,0000001034,0241,VENTA,3,159.09,VALIDO,__NULL__
175,2025-12-04 13:04:54,0000002134,0369,VENTA,5,26.06,VALIDO,__NULL__
176,2025-11-05 00:51:33,0000001427,0055,VENTA,9,369.0,VALIDO,__NULL__
177,2025-07-08 16:39:17,0000001131,0169,DEVOLUCION,-2,-21.8,VALIDO,__NULL__
178,2026-07-09 18:13:32,0000000839,0078,DEVOLUCION,-6,-18.78,VALIDO,__NULL__
179,2026-06-09 11:19:49,0000002202,0113,COMPRA,65,2064.35,VALIDO,__NULL__
180,2025-09-05 08:20:44,0000000994,0351,COMPRA,76,740.38,VALIDO,__NULL__
181,2025-02-16 04:12:18,0000001759,0134,VENTA,5,161.14,VALIDO,AJUSTE POR INVENTARIO
182,2025-02-25 12:27:19,0000002752,0353,VENTA,7,214.77,VALIDO,AJUSTE POR INVENTARIO
183,2026-07-25 21:16:29,0000001412,0080,VENTA,9,161.15,VALIDO,   
184,2026-06-15 21:05:15,0000000011,0136,COMPRA,70,52.73,VALIDO,DIFERENCIA EN CONTEO
185,2025-06-11 21:43:22,0000000974,0326,TRANSFERENCIA,27,1469.1,VALIDO,__NULL__
186,2026-05-03 19:27:51,0000000489,0232,COMPRA,45,1068.64,VALIDO,AJUSTE POR INVENTARIO
187,2025-12-10 19:32:12,0000001311,0305,VENTA,7,144.95,VALIDO,__NULL__
188,2025-07-26 07:06:39,0000001542,0090,AJUSTE,-18,-743.27,VALIDO,__NULL__
189,2025-12-23 09:47:57,0000001696,0119,VENTA,9,473.32,VALIDO,__NULL__
190,2026-01-20 17:30:38,0000002069,0037,VENTA,5,46.44,VALIDO,__NULL__
191,2025-08-05 17:31:47,0000000301,0207,VENTA,1,100.39,VALIDO,__NULL__
192,2025-02-16 21:35:16,0000000431,0129,TRANSFERENCIA,26,1542.03,VALIDO,__NULL__
193,2025-08-27 20:00:42,0000002711,0269,DEVOLUCION,-2,-8.94,VALIDO,__NULL__
194,2025-04-20 15:48:22,0000001139,0082,VENTA,3,238.04,VALIDO,__NULL__
195,2026-01-29 03:01:09,0000001039,0146,VENTA,6,205.98,VALIDO,__NULL__
196,2025-06-29 09:46:37,0000000117,0275,VENTA,9,697.38,VALIDO,AJUSTE POR INVENTARIO
197,2025-10-14 01:43:05,0000002744,0320,COMPRA,48,2471.92,VALIDO,__NULL__
198,2026-03-26 04:41:08,0000000173,0008,VENTA,2,66.31,VALIDO,__NULL__
199,2025-09-09 13:32:40,0000001065,0280,AJUSTE,-3,-229.69,VALIDO,__NULL__
200,2025-07-31 03:20:38,0000000069,0030,TRANSFERENCIA,16,212.6,VALIDO,__NULL__
