codigo_sucursal,nombre_sucursal,ciudad,provincia,tipo_sucursal,estado_sucursal
0053,PUNTO SALUD GUAYAQUIL 053,GUAYAQUIL,GUAYAS,BARRIO,ACTIVA
0054,PUNTO SALUD PORTOVIEJO 054,PORTOVIEJO,MANABI,BARRIO,ACTIVA
0055,PUNTO SALUD SANGOLQUI 055,SANGOLQUI,PICHINCHA,CENTRO COMERCIAL,ACTIVA
0056,PUNTO SALUD CAYAMBE 056,CAYAMBE,PICHINCHA,AUTOSERVICIO,ACTIVA
0057,PUNTO SALUD PORTOVIEJO 057,PORTOVIEJO,MANABI,FARMACIA,ACTIVA
0058,PUNTO SALUD SAMBORONDON 058,SAMBORONDON,GUAYAS,CENTRO COMERCIAL,ACTIVA
0059,PUNTO SALUD AZOGUES 059,AZOGUES,CANAR,AUTOSERVICIO,ACTIVA
0060,PUNTO SALUD LA LIBERTAD 060,LA LIBERTAD,SANTA ELENA,FARMACIA,ACTIVA
0061,PUNTO SALUD CAYAMBE 061,CAYAMBE,PICHINCHA,FARMACIA,ACTIVA
0062,PUNTO SALUD LOJA 062,LOJA,LOJA,CENTRO COMERCIAL,ACTIVA
0063,PUNTO SALUD QUEVEDO 063,QUEVEDO,LOS RIOS,AUTOSERVICIO,ACTIVA
0064,PUNTO SALUD PASAJE 064,PASAJE,EL ORO,AUTOSERVICIO,ACTIVA
0065,PUNTO SALUD SANTO DOMINGO 065,SANTO DOMINGO,SANTO DOMINGO,FARMACIA,ACTIVA
0066,PUNTO SALUD CUENCA 066,CUENCA,AZUAY,FARMACIA,ACTIVA
0067,PUNTO SALUD SANGOLQUI 067,SANGOLQUI,PICHINCHA,CENTRO COMERCIAL,ACTIVA
0068,PUNTO SALUD GUAYAQUIL 068,GUAYAQUIL,GUAYAS,FARMACIA,ACTIVA
0069,PUNTO SALUD CUENCA 069,CUENCA,AZUAY,FARMACIA,INACTIVA
0070,PUNTO SALUD SANGOLQUI 070,SANGOLQUI,PICHINCHA,BARRIO,ACTIVA
0071,PUNTO SALUD PORTOVIEJO 071,PORTOVIEJO,MANABI,BARRIO,ACTIVA
0072,PUNTO SALUD GUAYAQUIL 072,GUAYAQUIL,GUAYAS,FARMACIA,ACTIVA
0073,PUNTO SALUD DURAN 073,DURAN,GUAYAS,BARRIO,ACTIVA
0074,PUNTO SALUD QUITO 074,QUITO,PICHINCHA,CENTRO COMERCIAL,ACTIVA
0075,PUNTO SALUD BANOS 075,BANOS,TUNGURAHUA,BARRIO,ACTIVA
0076,PUNTO SALUD QUITO 076,QUITO,PICHINCHA,BARRIO,INACTIVA
0077,PUNTO SALUD DURAN 077,DURAN,GUAYAS,BARRIO,ACTIVA
0078,PUNTO SALUD BABAHOYO 078,BABAHOYO,LOS RIOS,FARMACIA,INACTIVA
0079,PUNTO SALUD CUENCA 079,CUENCA,AZUAY,AUTOSERVICIO,ACTIVA
0080,PUNTO SALUD OTAVALO 080,OTAVALO,IMBABURA,BARRIO,ACTIVA
0081,PUNTO SALUD GUAYAQUIL 081,GUAYAQUIL,GUAYAS,FARMACIA,ACTIVA
0082,PUNTO SALUD AZOGUES 082,AZOGUES,CANAR,CENTRO COMERCIAL,INACTIVA
0083,PUNTO SALUD RIOBAMBA 083,RIOBAMBA,CHIMBORAZO,AUTOSERVICIO,ACTIVA
0084,PUNTO SALUD SAMBORONDON 084,SAMBORONDON,GUAYAS,AUTOSERVICIO,ACTIVA
0085,PUNTO SALUD SANGOLQUI 085,SANGOLQUI,PICHINCHA,FARMACIA,INACTIVA
0086,PUNTO SALUD AMBATO 086,AMBATO,TUNGURAHUA,BARRIO,ACTIVA
0087,PUNTO SALUD CAYAMBE 087,CAYAMBE,PICHINCHA,FARMACIA,ACTIVA
0088,PUNTO SALUD QUITO 088,QUITO,PICHINCHA,AUTOSERVICIO,ACTIVA
0089,PUNTO SALUD SALCEDO 089,SALCEDO,COTOPAXI,FARMACIA,ACTIVA
0090,PUNTO SALUD SANTO DOMINGO 090,SANTO DOMINGO,SANTO DOMINGO,AUTOSERVICIO,ACTIVA
0091,PUNTO SALUD GUAYAQUIL 091,GUAYAQUIL,GUAYAS,CENTRO COMERCIAL,ACTIVA
0092,PUNTO SALUD PORTOVIEJO 092,PORTOVIEJO,MANABI,FARMACIA,ACTIVA
0093,PUNTO SALUD CHONE 093,CHONE,MANABI,CENTRO COMERCIAL,ACTIVA
0094,PUNTO SALUD RIOBAMBA 094,RIOBAMBA,CHIMBORAZO,FARMACIA,ACTIVA
0095,PUNTO SALUD GUAYAQUIL 095,GUAYAQUIL,GUAYAS,AUTOSERVICIO,ACTIVA
0096,PUNTO SALUD QUITO 096,QUITO,PICHINCHA,FARMACIA,ACTIVA
0097,PUNTO SALUD AMBATO 097,AMBATO,TUNGURAHUA,FARMACIA,ACTIVA
0098,PUNTO SALUD PASAJE 098,PASAJE,EL ORO,FARMACIA,ACTIVA
0099,PUNTO SALUD GUALACEO 099,GUALACEO,AZUAY,FARMACIA,INACTIVA
0100,PUNTO SALUD LATACUNGA 100,LATACUNGA,COTOPAXI,CENTRO COMERCIAL,ACTIVA
