id_orden,fecha_orden,codigo_proveedor,codigo_producto,codigo_sucursal,cantidad_solicitada,costo_unitario,valor_orden,estado_orden,fecha_entrega
73,2026-03-11 16:14:49,PR0098,0000002115,0085,392,13.13,5146.96,RECIBIDA,2026-04-09 04:14:49
74,2025-09-16 10:52:56,PR0105,0000000273,0293,83,15.45,1282.35,RECIBIDA,2025-09-26 20:52:56
75,2025-11-28 09:10:31,PR0039,0000000561,0272,422,20.05,8461.1,RECIBIDA,2025-12-14 19:10:31
76,2026-06-27 23:36:22,PR0038,0000001976,0169,466,49.74,23178.84,RECIBIDA,2026-07-19 21:36:22
77,2026-02-04 22:51:35,PR0036,0000000152,0365,429,8.67,3719.43,EN_TRANSITO,2026-02-21 06:51:35
78,2025-09-25 02:18:56,PR0029,0000000257,0323,211,1.66,350.26,RECIBIDA,2025-10-11 14:18:56
79,2025-12-01 23:01:51,PR0050,0000002341,0020,245,42.33,10370.85,RECIBIDA,2025-12-06 23:01:51
80,2026-07-25 06:51:38,PR0104,0000000106,0324,337,36.56,12320.72,RECIBIDA,2026-07-27 21:51:38
81,2025-10-20 10:46:00,PR0021,0000000104,0014,107,16.36,1750.52,RECIBIDA,2025-10-29 08:46:00
82,2026-03-16 02:05:16,PR0026,0000002790,0372,233,17.12,3988.96,EN_TRANSITO,2026-04-09 06:05:16
83,2025-11-10 19:55:27,PR0010,0000002339,0054,420,33.39,14023.8,RECIBIDA,2025-11-12 07:55:27
84,2025-10-10 18:42:25,PR0004,0000000535,0362,462,58.41,26985.42,RECIBIDA,2025-10-17 11:42:25
85,2025-11-04 16:47:49,PR0127,0000000459,0133,43,2.45,105.35,RECIBIDA,2025-11-09 18:47:49
86,2026-03-14 12:05:09,PR0087,0000001713,0010,389,7.89,3069.21,EN_TRANSITO,2026-03-26 10:05:09
87,2026-05-26 13:42:59,PR0051,0000002480,0132,11,16.92,186.12,RECIBIDA,2026-06-15 23:42:59
88,2025-03-09 00:34:40,PR0110,0000000436,0288,399,12.1,4827.9,RECIBIDA,2025-04-08 17:34:40
89,2026-02-10 00:14:39,PR0067,0000000844,0357,71,8.83,626.93,PENDIENTE,
90,2025-06-23 17:37:58,PR0028,0000001513,0215,493,86.45,42619.85,RECIBIDA,2025-07-22 08:37:58
91,2025-11-03 19:59:41,PR0125,0000001211,0170,369,11.09,4092.21,RECIBIDA,2025-11-07 09:59:41
92,2025-08-12 02:07:47,PR0001,0000002404,0185,339,18.37,6227.43,RECIBIDA,2025-08-28 02:07:47
93,2026-06-08 02:12:30,PR0118,0000000250,0031,420,6.23,2616.6,RECIBIDA,2026-06-16 05:12:30
94,2025-06-16 12:06:50,PR0096,0000001973,0326,109,48.3,5264.7,RECIBIDA,2025-06-25 11:06:50
95,2026-01-23 17:30:20,PR0080,0000001000,0204,222,27.44,6091.68,RECIBIDA,2026-01-25 04:30:20
96,2025-06-27 13:21:07,PR0029,0000001470,0386,470,18.25,8577.5,RECIBIDA,2025-07-12 06:21:07
97,2026-01-31 11:18:00,PR0030,0000001035,0194,70,33.85,2369.5,RECIBIDA,2026-02-22 16:18:00
98,2025-12-06 16:33:26,PR0035,0000002745,0134,281,20.31,5707.11,RECIBIDA,2025-12-19 14:33:26
99,2025-08-24 23:15:40,PR0037,0000002835,0138,263,19.46,5117.98,RECIBIDA,2025-09-24 17:15:40
100,2025-02-26 22:32:28,PR0121,0000001071,0050,336,1.08,362.88,RECIBIDA,2025-03-15 01:32:28
101,2025-12-18 12:07:25,PR0116,0000000380,0085,371,34.28,12717.88,RECIBIDA,2025-12-22 18:07:25
102,2026-06-23 05:18:16,PR0090,0000001813,0243,60,5.86,351.6,RECIBIDA,2026-07-06 14:18:16
103,2026-07-17 20:10:01,PR0066,0000000017,0288,378,25.04,9465.12,RECIBIDA,2026-08-05 03:10:01
104,2025-10-21 00:53:40,PR0126,0000000556,0351,496,5.51,2732.96,RECIBIDA,2025-11-09 00:53:40
105,2026-01-15 07:31:57,PR0040,0000000705,0399,314,22.38,7027.32,RECIBIDA,2026-02-09 06:31:57
106,2026-06-14 10:04:31,PR0095,0000001219,0078,81,32.32,2617.92,RECIBIDA,2026-07-15 03:04:31
107,2026-03-24 16:04:25,PR0013,0000002091,0262,427,15.75,6725.25,RECIBIDA,2026-04-04 03:04:25
108,2025-08-20 20:04:18,PR0050,0000000656,0082,427,6.64,2835.28,RECIBIDA,2025-09-17 04:04:18
109,2025-07-25 09:15:56,PR0031,0000001491,0060,84,27.94,2346.96,RECIBIDA,2025-08-07 12:15:56
110,2026-07-17 15:44:13,PR0131,0000001102,0061,299,36.06,10781.94,RECIBIDA,2026-07-24 13:44:13
111,2026-06-12 04:35:10,PR0045,0000001099,0047,405,10.89,4410.45,RECIBIDA,2026-06-30 18:35:10
112,2025-06-19 12:00:45,PR0078,0000001718,0393,498,16.55,8241.9,RECIBIDA,2025-07-17 22:00:45
113,2025-06-14 11:19:19,PR0074,0000002111,0399,245,25.29,6196.05,RECIBIDA,2025-06-30 21:19:19
114,2025-01-28 19:00:21,PR0108,0000002825,0345,154,0.5,77.0,RECIBIDA,2025-02-01 03:00:21
115,2025-04-20 00:40:12,PR0075,0000001243,0203,252,10.63,2678.76,RECIBIDA,2025-04-25 04:40:12
116,2025-01-14 03:07:04,PR0006,0000001325,0125,222,27.36,6073.92,RECIBIDA,2025-01-31 10:07:04
117,2026-06-26 05:33:52,PR0069,0000001925,0388,181,30.72,5560.32,PENDIENTE,
118,2026-05-14 17:07:58,PR0042,0000000578,0346,484,7.27,3518.68,RECIBIDA,2026-05-20 04:07:58
119,2025-12-14 23:48:38,PR0117,0000002196,0225,11,36.74,404.14,RECIBIDA,2025-12-29 15:48:38
120,2025-01-10 14:55:42,PR0039,0000000500,0352,276,22.71,6267.96,RECIBIDA,2025-01-13 18:55:42
121,2025-03-13 03:18:40,PR0109,0000001510,0284,420,45.13,18954.6,ANULADA,
122,2025-09-14 17:25:39,PR0059,0000002190,0037,137,1.08,147.96,RECIBIDA,2025-09-17 04:25:39
123,2025-02-04 07:33:42,PR0091,0000002840,0116,236,19.67,4642.12,RECIBIDA,2025-02-18 05:33:42
124,2025-12-05 05:53:15,PR0127,0000002176,0074,197,1.74,342.78,RECIBIDA,2025-12-11 13:53:15
125,2025-03-09 16:59:48,PR0113,0000001473,0195,242,64.24,15546.08,RECIBIDA,2025-03-20 18:59:48
126,2025-04-23 05:29:32,PR0091,0000002453,0320,105,14.93,1567.65,RECIBIDA,2025-05-19 08:29:32
127,2025-05-11 06:54:24,PR0076,0000000385,0190,238,16.88,4017.44,RECIBIDA,2025-05-17 01:54:24
128,2025-05-19 00:44:59,PR0127,0000002821,0331,238,14.71,3500.98,PENDIENTE,
129,2025-12-18 17:43:05,PR0109,0000000519,0270,107,26.51,2836.57,RECIBIDA,2025-12-31 16:43:05
130,2025-04-07 22:57:51,PR0034,0000001379,0132,490,32.32,15836.8,RECIBIDA,2025-04-09 09:57:51
131,2026-02-12 09:07:34,PR0075,0000000237,0393,457,37.63,17196.91,RECIBIDA,2026-02-18 15:07:34
132,2025-04-11 14:51:05,PR0118,0000000097,0391,329,18.6,6119.4,RECIBIDA,2025-04-23 21:51:05
133,2026-07-12 11:50:25,PR0019,0000001636,0379,30,50.97,1529.1,RECIBIDA,2026-08-04 00:50:25
134,2025-08-12 16:59:48,PR0022,0000002807,0232,264,17.12,4519.68,ANULADA,
135,2025-03-15 06:53:33,PR0026,0000000962,0120,255,12.41,3164.55,RECIBIDA,2025-03-25 03:53:33
136,2025-04-03 06:36:00,PR0109,0000002577,0280,404,10.09,4076.36,RECIBIDA,2025-04-07 01:36:00
137,2025-01-12 23:33:00,PR0007,0000002492,0297,226,29.38,6639.88,EN_TRANSITO,2025-02-12 13:33:00
138,2025-01-02 23:29:06,PR0067,0000002052,0156,154,49.49,7621.46,EN_TRANSITO,2025-01-14 18:29:06
139,2025-06-30 04:29:25,PR0012,0000001607,0190,107,13.38,1431.66,RECIBIDA,2025-07-28 02:29:25
140,2025-10-06 00:51:29,PR0090,0000000206,0006,45,12.58,566.1,ANULADA,
141,2026-02-04 17:31:14,PR0062,0000001136,0219,466,3.57,1663.62,ANULADA,
142,2025-06-23 15:57:50,PR0042,0000001720,0024,247,10.75,2655.25,PENDIENTE,
143,2025-11-11 02:41:39,PR0113,0000002672,0355,275,48.95,13461.25,RECIBIDA,2025-11-26 08:41:39
144,2025-03-27 11:45:25,PR0095,0000001880,0089,276,7.08,1954.08,RECIBIDA,2025-04-09 13:45:25
145,2026-06-25 13:17:30,PR0073,0000000516,0385,353,16.26,5739.78,RECIBIDA,2026-07-08 00:17:30
146,2025-05-25 23:20:47,PR0009,0000000723,0158,476,23.78,11319.28,RECIBIDA,2025-06-15 04:20:47
147,2025-08-05 11:06:37,PR0072,0000001022,0253,297,1.32,392.04,RECIBIDA,2025-08-09 10:06:37
148,2025-12-03 08:17:50,PR0019,0000000489,0097,371,23.45,8699.95,RECIBIDA,2025-12-28 00:17:50
149,2025-01-25 18:54:53,PR0096,0000002285,0184,150,27.08,4062.0,EN_TRANSITO,2025-01-30 17:54:53
150,2025-04-12 08:20:48,PR0059,0000000856,0377,375,28.21,10578.75,EN_TRANSITO,2025-04-23 14:20:48
151,2025-07-14 01:05:48,PR0066,0000000916,0142,423,5.09,2153.07,ANULADA,
152,2026-03-28 10:39:42,PR0001,0000000700,0251,267,29.12,7775.04,PENDIENTE,
153,2026-01-19 03:34:27,PR0130,0000002160,0092,36,25.61,921.96,RECIBIDA,2026-01-22 09:34:27
154,2025-11-15 02:10:35,PR0012,0000002721,0065,282,7.89,2224.98,RECIBIDA,2025-11-23 15:10:35
155,2025-05-01 01:21:02,PR0009,0000000277,0014,458,23.0,10534.0,RECIBIDA,2025-05-09 23:21:02
156,2025-04-19 00:52:59,PR0064,0000002010,0096,453,20.08,9096.24,RECIBIDA,2025-05-14 07:52:59
157,2026-03-07 05:32:47,PR0089,0000000414,0375,125,30.77,3846.25,RECIBIDA,2026-03-26 15:32:47
158,2026-03-10 10:39:05,PR0030,0000002624,0055,401,54.18,21726.18,RECIBIDA,2026-04-01 04:39:05
159,2025-04-18 09:20:31,PR0022,0000001203,0137,367,46.52,17072.84,RECIBIDA,2025-05-01 15:20:31
160,2025-05-14 21:44:57,PR0018,0000002028,0351,215,47.1,10126.5,RECIBIDA,2025-05-30 19:44:57
161,2025-06-24 01:05:04,PR0021,0000002799,0354,180,51.75,9315.0,RECIBIDA,2025-07-13 04:05:04
162,2025-10-19 21:25:14,PR0013,0000001934,0001,274,16.84,4614.16,RECIBIDA,2025-11-09 15:25:14
163,2025-01-17 00:49:38,PR0032,0000000125,0333,44,2.48,109.12,RECIBIDA,2025-02-03 23:49:38
164,2026-05-09 12:22:00,PR0109,0000000072,0342,168,13.74,2308.32,RECIBIDA,2026-05-16 11:22:00
165,2025-07-20 04:36:15,PR0023,0000000602,0375,369,9.8,3616.2,RECIBIDA,2025-08-17 00:36:15
166,2025-04-26 13:59:09,PR0084,0000002693,0112,309,15.26,4715.34,RECIBIDA,2025-05-07 07:59:09
167,2025-11-30 21:44:39,PR0098,0000001292,0069,285,56.17,16008.45,RECIBIDA,2025-12-02 07:44:39
168,2025-06-20 12:43:36,PR0067,0000001330,0068,208,62.24,12945.92,RECIBIDA,2025-07-16 10:43:36
169,2025-04-14 22:08:45,PR0064,0000002533,0254,447,5.33,2382.51,RECIBIDA,2025-05-10 18:08:45
170,2026-07-16 11:43:40,PR0065,0000000839,0383,477,2.26,1078.02,RECIBIDA,2026-07-22 16:43:40
171,2025-10-09 14:03:55,PR0129,0000001124,0185,272,22.87,6220.64,RECIBIDA,2025-10-31 21:03:55
172,2025-02-16 19:53:29,PR0041,0000001612,0318,217,31.74,6887.58,RECIBIDA,2025-03-12 09:53:29
173,2025-11-26 00:19:52,PR0099,0000002161,0216,104,5.92,615.68,PENDIENTE,
174,2025-10-15 17:35:47,PR0049,0000002488,0131,170,6.48,1101.6,RECIBIDA,2025-11-05 02:35:47
175,2025-03-07 05:18:31,PR0046,0000002651,0349,304,24.65,7493.6,RECIBIDA,2025-03-21 06:18:31
176,2025-02-02 07:04:59,PR0044,0000002545,0258,294,41.34,12153.96,RECIBIDA,2025-02-07 06:04:59
177,2025-06-14 00:47:12,PR0022,0000002249,0102,456,46.82,21349.92,ANULADA,
178,2026-07-18 06:44:52,PR0079,0000001639,0010,146,79.95,11672.7,RECIBIDA,2026-07-23 06:44:52
179,2025-10-27 06:01:55,PR0118,0000000190,0009,63,1.87,117.81,RECIBIDA,2025-11-06 15:01:55
180,2026-03-29 08:14:07,PR0107,0000002362,0232,119,14.74,1754.06,RECIBIDA,2026-04-13 23:14:07
181,2026-03-03 12:04:04,PR0045,0000001767,0126,186,70.92,13191.12,RECIBIDA,2026-03-19 17:04:04
182,2025-07-26 22:15:44,PR0015,0000002858,0193,138,15.38,2122.44,RECIBIDA,2025-08-13 20:15:44
183,2025-08-02 18:43:41,PR0129,0000000973,0077,100,23.86,2386.0,RECIBIDA,2025-08-05 20:43:41
184,2025-07-29 15:40:56,PR0088,0000001089,0384,69,33.22,2292.18,ANULADA,
185,2026-05-09 11:00:52,PR0005,0000001568,0199,426,8.0,3408.0,RECIBIDA,2026-06-02 06:00:52
186,2026-02-25 09:00:02,PR0033,0000000293,0001,493,8.66,4269.38,RECIBIDA,2026-03-26 17:00:02
187,2026-07-23 19:37:42,PR0116,0000000559,0226,162,3.01,487.62,PENDIENTE,
188,2026-05-04 12:19:40,PR0135,0000002240,0315,431,29.53,12727.43,RECIBIDA,2026-05-12 12:19:40
189,2025-08-06 07:45:54,PR0050,0000002017,0241,26,53.59,1393.34,RECIBIDA,2025-08-20 03:45:54
190,2025-11-14 16:35:19,PR0077,0000000212,0167,484,31.67,15328.28,ANULADA,
191,2026-04-09 21:20:35,PR0015,0000002278,0385,309,41.08,12693.72,PENDIENTE,
192,2026-06-10 07:08:20,PR0056,0000001100,0171,55,36.47,2005.85,RECIBIDA,2026-06-26 20:08:20
193,2026-05-27 21:19:01,PR0026,0000002378,0158,24,6.37,152.88,RECIBIDA,2026-06-24 07:19:01
194,2025-11-26 12:22:46,PR0064,0000002667,0162,442,2.75,1215.5,RECIBIDA,2025-12-11 22:22:46
195,2025-12-12 15:44:14,PR0049,0000002766,0151,147,34.4,5056.8,RECIBIDA,2026-01-05 08:44:14
196,2025-05-16 15:20:03,PR0018,0000002583,0081,9,25.22,226.98,RECIBIDA,2025-05-23 15:20:03
197,2026-03-19 02:18:04,PR0059,0000000820,0227,168,9.85,1654.8,RECIBIDA,2026-04-04 09:18:04
198,2026-05-24 10:05:24,PR0030,0000002133,0174,6,14.16,84.96,RECIBIDA,2026-05-26 00:05:24
199,2026-03-18 11:23:07,PR0054,0000001552,0277,54,31.68,1710.72,RECIBIDA,2026-03-24 23:23:07
200,2025-03-24 01:17:57,PR0134,0000002366,0072,391,14.54,5685.14,EN_TRANSITO,2025-04-16 18:17:57
