codigo_proveedor,nombre_proveedor,ciudad,provincia,tipo_proveedor,dias_credito,estado_proveedor
PR0067,VITAL DISTRIBUCIONES 067,AMBATO,TUNGURAHUA,DISTRIBUIDOR,45,ACTIVO
PR0068,BIOCOMERCIAL 068,LATACUNGA,COTOPAXI,IMPORTADOR,30,ACTIVO
PR0069,SALUD LOGISTICA 069,AMBATO,TUNGURAHUA,MAYORISTA,30,ACTIVO
PR0070,,CUENCA,AZUAY,FABRICANTE,45,ACTIVO
PR0071,FARMA RED 071,CUENCA,AZUAY,IMPORTADOR,30,ACTIVO
PR0072,PRIME HEALTH 072,QUITO,PICHINCHA,,60,ACTIVO
PR0073,NACIONAL MED 073,QUEVEDO,LOS RIOS,IMPORTADOR,45,ACTIVO
PR0074,DISTRIBUIDORA ORIENTE 074,DURAN,GUAYAS,IMPORTADOR,15,ACTIVO
PR0075,COMERCIAL VIDA 075,CAYAMBE,PICHINCHA,FABRICANTE,45,ACTIVO
PR0076,ANDES SUPPLY 076,LOJA,LOJA,DISTRIBUIDOR,45,ACTIVO
PR0077,NOVA DISTRIBUCIONES 077,QUITO,PICHINCHA,DISTRIBUIDOR,30,ACTIVO
PR0078,PACIFICO FARMA 078,LOJA,LOJA,IMPORTADOR,15,ACTIVO
PR0079,,MACHALA,EL ORO,MAYORISTA,15,ACTIVO
PR0080,ECUASALUD 080,QUITO,PICHINCHA,FABRICANTE,15,ACTIVO
PR0081,CENTRAL PHARMA 081,LATACUNGA,COTOPAXI,DISTRIBUIDOR,45,ACTIVO
PR0082,VITAL DISTRIBUCIONES 082,CUENCA,AZUAY,,30,INACTIVO
PR0083,BIOCOMERCIAL 083,LOJA,LOJA,MAYORISTA,45,
PR0084,SALUD LOGISTICA 084,GUAYAQUIL,GUAYAS,MAYORISTA,15,INACTIVO
PR0085,MEDIANDES 085,GUAYAQUIL,GUAYAS,DISTRIBUIDOR,60,INACTIVO
PR0086,FARMA RED 086,DURAN,GUAYAS,DISTRIBUIDOR,30,ACTIVO
PR0087,PRIME HEALTH 087,CAYAMBE,PICHINCHA,FABRICANTE,30,ACTIVO
PR0088,NACIONAL MED 088,CUENCA,AZUAY,MAYORISTA,0,ACTIVO
PR0089,DISTRIBUIDORA ORIENTE 089,LATACUNGA,COTOPAXI,MAYORISTA,30,ACTIVO
PR0090,COMERCIAL VIDA 090,MANTA,MANABI,IMPORTADOR,0,ACTIVO
PR0091,ANDES SUPPLY 091,CUENCA,AZUAY,IMPORTADOR,30,ACTIVO
PR0092,NOVA DISTRIBUCIONES 092,DURAN,GUAYAS,DISTRIBUIDOR,30,ACTIVO
PR0093,PACIFICO FARMA 093,LOJA,LOJA,IMPORTADOR,30,ACTIVO
PR0094,SIERRA MED 094,QUEVEDO,LOS RIOS,IMPORTADOR,60,ACTIVO
PR0095,ECUASALUD 095,QUITO,PICHINCHA,MAYORISTA,60,ACTIVO
PR0096,CENTRAL PHARMA 096,LOJA,LOJA,MAYORISTA,0,ACTIVO
PR0097,VITAL DISTRIBUCIONES 097,SANTO DOMINGO,SANTO DOMINGO,DISTRIBUIDOR,30,ACTIVO
PR0098,BIOCOMERCIAL 098,QUEVEDO,LOS RIOS,DISTRIBUIDOR,45,ACTIVO
PR0099,SALUD LOGISTICA 099,LOJA,LOJA,IMPORTADOR,60,ACTIVO
PR0100,MEDIANDES 100,QUITO,PICHINCHA,DISTRIBUIDOR,45,ACTIVO
